iter	Passed	Remaining
418	2592	3594
419	2598	3588
420	2603	3581
421	2610	3575
422	2616	3568
423	2622	3562
424	2630	3558
425	2637	3553
426	2645	3550
427	2652	3545
428	2660	3541
429	2667	3536
430	2676	3532
431	2683	3528
432	2690	3523
433	2696	3517
434	2702	3510
435	2708	3503
436	2714	3497
437	2719	3490
438	2726	3484
439	2731	3477
440	2737	3469
441	2744	3464
442	2752	3460
443	2758	3454
444	2762	3444
445	2767	3438
446	2774	3432
447	2780	3425
448	2786	3419
449	2792	3412
450	2798	3406
451	2804	3399
452	2809	3392
453	2815	3386
454	2822	3380
455	2828	3373
456	2834	3367
457	2840	3361
458	2845	3354
459	2852	3348
460	2858	3341
461	2863	3334
462	2869	3328
463	2875	3321
464	2881	3315
465	2888	3309
466	2893	3302
467	2899	3296
468	2905	3289
469	2911	3282
470	2917	3276
471	2922	3269
472	2928	3262
473	2935	3257
474	2941	3250
475	2946	3243
476	2952	3237
477	2958	3230
478	2964	3224
479	2970	3218
480	2976	3211
481	2982	3205
482	2988	3199
483	2994	3192
484	3000	3186
485	3006	3179
486	3012	3173
487	3018	3167
488	3024	3160
489	3031	3154
490	3036	3148
491	3042	3141
492	3048	3135
493	3054	3128
494	3061	3123
495	3067	3116
496	3072	3109
497	3079	3103
498	3084	3097
499	3090	3090
500	3096	3084
501	3102	3077
502	3108	3071
503	3113	3064
504	3119	3057
505	3127	3053
506	3134	3047
507	3139	3040
508	3145	3034
509	3151	3027
510	3157	3022
511	3163	3015
512	3169	3008
513	3175	3002
514	3181	2996
515	3187	2989
516	3193	2983
517	3199	2977
518	3205	2971
519	3211	2964
520	3217	2957
521	3223	2951
522	3226	2943
523	3232	2936
524	3239	2930
525	3244	2923
526	3250	2917
527	3257	2911
528	3263	2905
529	3269	2899
530	3275	2892
531	3280	2886
532	3287	2880
533	3293	2874
534	3300	2869
535	3306	2862
536	3312	2855
537	3319	2850
538	3326	2844
539	3332	2838
540	3338	2832
541	3343	2825
542	3350	2819
543	3355	2812
544	3361	2806
545	3369	2801
546	3374	2794
547	3380	2788
548	3386	2782
549	3392	2775
550	3400	2771
551	3406	2764
552	3412	2758
553	3418	2752
554	3421	2743
555	3426	2736
556	3433	2730
557	3438	2723
558	3444	2717
559	3451	2711
560	3456	2705
561	3463	2699
562	3469	2692
563	3474	2686
564	3481	2680
565	3487	2673
566	3492	2667
567	3499	2661
568	3505	2655
569	3511	2649
570	3518	2643
571	3525	2638
572	3532	2632
573	3537	2625
574	3544	2619
575	3550	2613
576	3556	2607
577	3563	2601
578	3568	2594
579	3574	2588
580	3580	2582
581	3586	2575
582	3592	2569
583	3598	2563
584	3604	2556
585	3610	2550
586	3615	2544
587	3621	2537
588	3630	2533
589	3637	2527
590	3645	2522
591	3651	2516
592	3658	2510
593	3663	2504
594	3669	2497
595	3676	2491
596	3681	2485
597	3687	2479
598	3693	2472
599	3699	2466
600	3706	2460
601	3712	2454
602	3717	2447
603	3724	2441
604	3729	2435
605	3735	2428
606	3741	2422
607	3747	2416
608	3754	2410
609	3759	2403
610	3765	2397
611	3771	2391
612	3777	2384
613	3782	2378
614	3790	2372
615	3795	2366
616	3802	2360
617	3808	2353
618	3813	2347
619	3819	2341
620	3825	2334
621	3831	2328
622	3837	2322
623	3843	2316
624	3849	2309
625	3855	2303
626	3861	2297
627	3867	2290
628	3872	2284
629	3878	2277
630	3885	2271
631	3890	2265
632	3897	2259
633	3905	2254
634	3911	2248
635	3918	2242
636	3923	2236
637	3930	2230
638	3936	2223
639	3938	2215
640	3943	2208
641	3950	2202
642	3956	2196
643	3962	2190
644	3968	2184
645	3973	2177
646	3979	2171
647	3985	2165
648	3991	2158
649	3998	2152
650	4003	2146
651	4009	2140
652	4015	2133
653	4021	2127
654	4027	2121
655	4033	2115
656	4039	2108
657	4045	2102
658	4051	2096
659	4057	2090
660	4063	2084
661	4069	2077
662	4071	2069
663	4077	2063
664	4083	2057
665	4089	2050
666	4095	2044
667	4101	2038
668	4107	2032
669	4113	2025
670	4119	2019
671	4125	2013
672	4132	2008
673	4141	2002
674	4148	1997
675	4153	1990
676	4160	1984
677	4165	1978
678	4172	1972
679	4178	1966
680	4184	1960
681	4190	1954
682	4196	1947
683	4202	1941
684	4209	1935
685	4215	1929
686	4221	1923
687	4227	1917
688	4233	1910
689	4239	1904
690	4245	1898
691	4251	1892
692	4257	1885
693	4262	1879
694	4269	1873
695	4275	1867
696	4280	1860
697	4288	1855
698	4296	1849
699	4303	1844
700	4309	1838
701	4315	1831
702	4321	1825
703	4327	1819
704	4334	1813
705	4339	1807
706	4345	1800
707	4352	1794
708	4357	1788
709	4363	1782
710	4369	1776
711	4375	1769
712	4377	1762
713	4384	1756
714	4392	1750
715	4400	1745
716	4406	1739
717	4408	1731
718	4415	1725
719	4420	1719
720	4426	1712
721	4434	1707
722	4440	1701
723	4447	1695
724	4452	1688
725	4458	1682
726	4465	1676
727	4470	1670
728	4477	1664
729	4483	1658
730	4488	1651
731	4495	1645
732	4501	1639
733	4507	1633
734	4513	1627
735	4520	1621
736	4526	1615
737	4531	1608
738	4538	1602
739	4544	1596
740	4550	1590
741	4555	1584
742	4562	1578
743	4568	1571
744	4574	1565
745	4580	1559
746	4586	1553
747	4592	1547
748	4598	1540
749	4603	1534
750	4611	1528
751	4617	1522
752	4624	1516
753	4629	1510
754	4635	1504
755	4642	1498
756	4648	1492
757	4654	1485
758	4659	1479
759	4665	1473
760	4672	1467
761	4678	1461
762	4684	1455
763	4693	1449
764	4698	1443
765	4705	1437
766	4711	1431
767	4717	1424
768	4723	1419
769	4729	1412
770	4735	1406
771	4741	1400
772	4747	1394
773	4753	1387
774	4760	1381
775	4765	1375
776	4771	1369
777	4777	1363
778	4783	1356
779	4788	1350
780	4794	1344
781	4801	1338
782	4806	1332
783	4812	1325
784	4818	1319
785	4824	1313
786	4830	1307
787	4836	1301
788	4842	1295
789	4849	1288
790	4854	1282
791	4860	1276
792	4867	1270
793	4872	1264
794	4878	1258
795	4885	1252
796	4891	1245
797	4897	1239
798	4903	1233
799	4909	1227
800	4915	1221
801	4921	1215
802	4927	1208
803	4932	1202
804	4938	1196
805	4944	1190
806	4950	1183
807	4955	1177
808	4962	1171
809	4967	1165
810	4973	1159
811	4980	1153
812	4985	1146
813	4991	1140
814	4997	1134
815	5003	1128
816	5010	1122
817	5015	1115
818	5021	1109
819	5028	1103
