iter	MultiClass
0	0.9852870049
1	0.8836998799
2	0.8033100343
3	0.733705245
4	0.6731182819
5	0.6190946369
6	0.5748102664
7	0.5327663495
8	0.4953923061
9	0.4581665253
10	0.4277231708
11	0.3989338206
12	0.3758931371
13	0.3530388007
14	0.3328141458
15	0.314987273
16	0.2951281598
17	0.2791796531
18	0.2630516701
19	0.2492011741
20	0.2364621943
21	0.2250407386
22	0.2139164674
23	0.2034803578
24	0.193848219
25	0.1851324123
26	0.1769661081
27	0.1695445249
28	0.1619262219
29	0.1538100077
30	0.1471116865
31	0.1407902463
32	0.1356186269
33	0.1306856019
34	0.1262085443
35	0.1220112534
36	0.117314675
37	0.1123758413
38	0.1084172729
39	0.1041447243
40	0.1009545499
41	0.09720857914
42	0.09362594393
43	0.09075469687
44	0.08805548771
45	0.08593692234
46	0.08317767161
47	0.08072457741
48	0.07840569898
49	0.07650962242
50	0.07454738075
51	0.07239279292
52	0.07076450098
53	0.06906843466
54	0.06730998354
55	0.06566932704
56	0.06445457545
57	0.06337556056
58	0.06196835718
59	0.06029841755
60	0.05924309087
61	0.05786959165
62	0.05657233249
63	0.05525010861
64	0.05420733254
65	0.05303908869
66	0.05192006617
67	0.05071050066
68	0.04968822211
69	0.04884863062
70	0.0480671152
71	0.047233876
72	0.04661377648
73	0.04608785392
74	0.04531998191
75	0.04475344737
76	0.04380712155
77	0.04328099939
78	0.0426540861
79	0.041980809
80	0.04126004895
81	0.04061460865
82	0.0400011101
83	0.03922865739
84	0.03852532414
85	0.03775979022
86	0.03716509708
87	0.03674276453
88	0.03621333468
89	0.03578563532
90	0.03547771005
91	0.03515172865
92	0.03469161408
93	0.0343016014
94	0.03394608765
95	0.03340876905
96	0.03279096253
97	0.03233919878
98	0.03179727625
99	0.03132099598
100	0.030865005
101	0.03054962167
102	0.03005497075
103	0.02976515603
104	0.02945798698
105	0.02896210006
106	0.02865055102
107	0.02825741279
108	0.02787422676
109	0.02756065892
110	0.02716266288
111	0.02676885938
112	0.02637623202
